weekday,hour,avg_vol,freq
0,2,67.47611006289301,1m
0,3,54.177286163522055,1m
0,4,45.786075471698084,1m
0,5,47.03934591194962,1m
0,6,59.50255660377342,1m
0,7,60.80267610062883,1m
0,8,59.66215723270436,1m
0,9,59.597528301886676,1m
0,10,53.7944150943395,1m
0,11,53.000937106918194,1m
0,12,64.84519182389923,1m
0,13,86.07001572327054,1m
0,14,116.68936163522011,1m
0,15,107.85794339622653,1m
0,16,92.23387106918238,1m
0,17,95.22420396419444,1m
0,18,81.86900641025643,1m
0,19,83.43539743589744,1m
0,20,73.0444070512819,1m
0,21,66.67117307692293,1m
0,22,64.48632692307692,1m
0,23,58.840294871794946,1m
1,0,74.14141987179491,1m
1,1,70.46544230769238,1m
1,2,63.10429166666672,1m
1,3,52.0794743589743,1m
1,4,48.92774038461542,1m
1,5,48.81351602564094,1m
1,6,46.57716666666658,1m
1,7,51.989259615384555,1m
1,8,56.00956089743584,1m
1,9,52.54023397435899,1m
1,10,54.85829807692321,1m
1,11,52.34851602564097,1m
1,12,60.05214743589742,1m
1,13,86.90040064102563,1m
1,14,123.85331089743595,1m
1,15,114.93675961538462,1m
1,16,95.08847756410269,1m
1,17,83.59218269230769,1m
1,18,75.45329166666677,1m
1,19,77.47136217948717,1m
1,20,72.76831730769227,1m
1,21,59.93900320512798,1m
1,22,56.330993589743414,1m
1,23,48.60104487179484,1m
2,0,58.006621794871855,1m
2,1,62.780695512820536,1m
2,2,54.590323717948515,1m
2,3,47.467330128205106,1m
2,4,45.29160897435883,1m
2,5,40.11951602564089,1m
2,6,41.35681410256416,1m
2,7,46.455810897435896,1m
2,8,48.56040064102568,1m
2,9,42.97637820512807,1m
2,10,44.584144230769134,1m
2,11,45.86880448717943,1m
2,12,63.056429487179386,1m
2,13,83.6883557692308,1m
2,14,105.93797435897433,1m
2,15,96.84057692307691,1m
2,16,84.73792948717939,1m
2,17,73.07237820512826,1m
2,18,84.4825480769231,1m
2,19,88.87259935897434,1m
2,20,82.16856410256418,1m
2,21,62.502179487179546,1m
2,22,53.416326923077,1m
2,23,47.64180448717946,1m
3,0,60.979435897435984,1m
3,1,61.27480128205134,1m
3,2,62.39136217948714,1m
3,3,52.44897756410275,1m
3,4,44.258407051282056,1m
3,5,39.142628205128105,1m
3,6,41.67867307692302,1m
3,7,42.36597756410242,1m
3,8,49.093304487179594,1m
3,9,42.92943269230764,1m
3,10,44.63416346153846,1m
3,11,47.65278525641037,1m
3,12,65.61117948717947,1m
3,13,84.74966346153845,1m
3,14,108.65258974358989,1m
3,15,107.13878846153861,1m
3,16,85.40766666666676,1m
3,17,76.01099358974369,1m
3,18,75.72223076923086,1m
3,19,73.83543269230782,1m
3,20,80.10605769230781,1m
3,21,60.087048076923104,1m
3,22,60.93983012820503,1m
3,23,47.915205128205024,1m
4,0,59.6777403846154,1m
4,1,63.85863782051286,1m
4,2,62.37307692307709,1m
4,3,50.43158974358971,1m
4,4,44.532987179487215,1m
4,5,42.959464743589734,1m
4,6,44.78105448717927,1m
4,7,48.84579487179478,1m
4,8,49.17627884615362,1m
4,9,48.46074358974358,1m
4,10,43.65333012820511,1m
4,11,45.12126602564105,1m
4,12,63.31454487179476,1m
4,13,85.75750320512834,1m
4,14,109.74026602564112,1m
4,15,106.74973397435906,1m
4,16,90.20792948717961,1m
4,17,79.20861538461543,1m
4,18,81.20429166666672,1m
4,19,72.32177884615415,1m
4,20,64.23160576923071,1m
4,21,54.31561858974347,1m
4,22,42.73434935897437,1m
4,23,38.651673076922926,1m
5,0,41.33409615384597,1m
5,1,41.47658333333334,1m
5,2,32.250612179487085,1m
5,3,28.53492628205121,1m
5,4,26.437051282050966,1m
5,5,25.342778846153465,1m
5,6,24.821003205127898,1m
5,7,23.335240384615073,1m
5,8,24.074826923076788,1m
5,9,23.883115384615174,1m
5,10,25.360397435897283,1m
5,11,25.66112820512803,1m
5,12,27.370048076922913,1m
5,13,32.85532692307679,1m
5,14,32.96668269230746,1m
5,15,35.34658333333314,1m
5,16,39.07636538461525,1m
5,17,37.077192307692215,1m
5,18,31.441333333333024,1m
5,19,29.477878205128217,1m
5,20,40.17649679487167,1m
5,21,30.745291666666517,1m
5,22,30.21138141025619,1m
5,23,31.294887820512557,1m
6,0,32.12804487179463,1m
6,1,31.591150641025543,1m
6,2,33.1493429487176,1m
6,3,30.872820512820372,1m
6,4,29.371525641025606,1m
6,5,26.06897756410244,1m
6,6,21.638913461537967,1m
6,7,23.798487179486973,1m
6,8,25.986958333333043,1m
6,9,28.107233974358575,1m
6,10,27.377397435897514,1m
6,11,31.975602564102314,1m
6,12,35.35354807692302,1m
6,13,39.541250000000005,1m
6,14,50.24200961538429,1m
6,15,48.970365384615334,1m
6,16,52.37305448717923,1m
6,17,49.58381089743569,1m
6,18,45.578676282051056,1m
6,19,39.21098717948695,1m
6,20,40.11272435897415,1m
6,21,48.04534294871783,1m
6,22,67.07033333333337,1m
6,23,68.65611538461539,1m
