index,volatility,freq,price_level
mean,56.2209734363782,1m,5f-7
std,55.75399767169756,1m,5f-7
min,0.00999999999476131,1m,5f-7
25%,22.0,1m,5f-7
50%,40.679999999993015,1m,5f-7
75%,71.93499999999767,1m,5f-7
max,1057.0,1m,5f-7
count,234298.0,1m,5f-6
mean,40.75074695473266,1m,5f-6
std,42.966371233009305,1m,5f-6
min,0.00999999999476131,1m,5f-6
25%,14.779999999998836,1m,5f-6
50%,30.00999999999476,1m,5f-6
75%,53.51000000000204,1m,5f-6
max,1878.550000000003,1m,5f-6
count,65469.0,1m,5f-5
mean,52.56169881928856,1m,5f-5
std,54.4495738329667,1m,5f-5
min,0.00999999999476131,1m,5f-5
25%,21.080000000001746,1m,5f-5
50%,38.44000000000233,1m,5f-5
75%,66.15999999999622,1m,5f-5
max,1955.5999999999985,1m,5f-5
count,21.0,1m,5f-4
mean,335.88666666666643,1m,5f-4
std,276.1149163361754,1m,5f-4
min,128.0,1m,5f-4
25%,162.5500000000029,1m,5f-4
50%,246.23999999999796,1m,5f-4
75%,371.93999999999505,1m,5f-4
max,1258.0,1m,5f-4
count,52107.0,1m,5f-8
mean,80.68478745657985,1m,5f-8
std,78.41115767143734,1m,5f-8
min,0.00999999999476131,1m,5f-8
25%,32.01000000000931,1m,5f-8
50%,59.18000000000757,1m,5f-8
75%,105.25,1m,5f-8
max,2120.0,1m,5f-8
count,111392.0,1m,5f-9
mean,71.83978840491245,1m,5f-9
std,69.18220059125258,1m,5f-9
min,0.00999999999476131,1m,5f-9
25%,29.080000000001746,1m,5f-9
50%,54.59999999999127,1m,5f-9
75%,94.55999999999767,1m,5f-9
max,5699.990000000005,1m,5f-9
count,38222.0,1m,6f-1
mean,84.56720919889067,1m,6f-1
std,90.44622097939519,1m,6f-1
min,0.00999999999476131,1m,6f-1
25%,33.419999999998254,1m,6f-1
50%,61.09999999999127,1m,6f-1
75%,107.33999999999651,1m,6f-1
max,2370.220000000001,1m,6f-1
