hour,vol,freq,holiday_filter_type
0,0.015690410958904114,15m,include
1,0.015986986301369865,15m,include
2,0.014142465753424658,15m,include
3,0.012738356164383562,15m,include
4,0.012417123287671236,15m,include
5,0.012022602739726027,15m,include
6,0.012514383561643838,15m,include
7,0.012491780821917818,15m,include
8,0.013578767123287674,15m,include
9,0.012993150684931511,15m,include
10,0.012727397260273974,15m,include
11,0.012644520547945208,15m,include
12,0.015040410958904115,15m,include
13,0.017004794520547945,15m,include
14,0.018692465753424658,15m,include
15,0.01757945205479453,15m,include
16,0.016794520547945207,15m,include
17,0.0156614119259767,15m,include
18,0.01480151098901099,15m,include
19,0.01318131868131868,15m,include
20,0.01377335164835165,15m,include
21,0.0129945054945055,15m,include
22,0.013039835164835168,15m,include
23,0.01159134615384615,15m,include
0,0.016175000000000012,15m,exclude
1,0.017044,15m,exclude
2,0.015015000000000002,15m,exclude
3,0.013191000000000001,15m,exclude
4,0.013055000000000008,15m,exclude
5,0.012460000000000002,15m,exclude
6,0.013416000000000006,15m,exclude
7,0.013307000000000008,15m,exclude
8,0.014399000000000002,15m,exclude
9,0.013523000000000002,15m,exclude
10,0.013395,15m,exclude
11,0.013190000000000002,15m,exclude
12,0.016062000000000003,15m,exclude
13,0.018757,15m,exclude
14,0.020838999999999996,15m,exclude
15,0.019184000000000003,15m,exclude
16,0.017769,15m,exclude
17,0.01623523523523524,15m,exclude
18,0.01602710843373494,15m,exclude
19,0.014141566265060237,15m,exclude
20,0.014466867469879522,15m,exclude
21,0.013457831325301208,15m,exclude
22,0.0131847389558233,15m,exclude
23,0.011554216867469875,15m,exclude
0,0.014636956521739127,15m,only
1,0.013689130434782615,15m,only
2,0.012245652173913041,15m,only
3,0.011754347826086954,15m,only
4,0.01103043478260869,15m,only
5,0.01107173913043478,15m,only
6,0.010554347826086956,15m,only
7,0.010719565217391315,15m,only
8,0.011795652173913044,15m,only
9,0.011841304347826095,15m,only
10,0.011276086956521738,15m,only
11,0.011458695652173915,15m,only
12,0.01281956521739131,15m,only
13,0.013195652173913051,15m,only
14,0.014026086956521749,15m,only
15,0.014091304347826104,15m,only
16,0.014676086956521743,15m,only
17,0.014415217391304356,15m,only
18,0.012147826086956524,15m,only
19,0.011102173913043481,15m,only
20,0.01227173913043478,15m,only
21,0.011991304347826096,15m,only
22,0.01272608695652173,15m,only
23,0.01167173913043478,15m,only
0,0.008681735159817353,5m,include
1,0.00862077625570776,5m,include
2,0.007760502283105023,5m,include
3,0.007023059360730597,5m,include
4,0.0067716894977168955,5m,include
5,0.006577168949771691,5m,include
6,0.0068687214611872155,5m,include
7,0.006955022831050232,5m,include
8,0.007434018264840186,5m,include
9,0.007215068493150687,5m,include
10,0.007035616438356165,5m,include
11,0.006994748858447489,5m,include
12,0.008253424657534245,5m,include
13,0.009376940639269407,5m,include
14,0.010420547945205477,5m,include
15,0.009873059360730595,5m,include
16,0.009447260273972604,5m,include
17,0.008606718464351005,5m,include
18,0.008229166666666668,5m,include
19,0.007382554945054947,5m,include
20,0.007647664835164837,5m,include
21,0.006999313186813188,5m,include
22,0.007009157509157507,5m,include
23,0.006440247252747252,5m,include
0,0.00900566666666667,5m,exclude
1,0.009187333333333332,5m,exclude
2,0.008242000000000001,5m,exclude
3,0.007330333333333338,5m,exclude
4,0.007092666666666669,5m,exclude
5,0.0068653333333333335,5m,exclude
6,0.007298000000000001,5m,exclude
7,0.007395333333333338,5m,exclude
8,0.007914333333333336,5m,exclude
9,0.007522666666666667,5m,exclude
10,0.007394666666666669,5m,exclude
11,0.007318333333333333,5m,exclude
12,0.008820666666666664,5m,exclude
13,0.010324999999999999,5m,exclude
14,0.011630999999999996,5m,exclude
15,0.010753333333333333,5m,exclude
16,0.009998000000000002,5m,exclude
17,0.008948931909212284,5m,exclude
18,0.008813922356091028,5m,exclude
19,0.007910977242302544,5m,exclude
20,0.008011044176706828,5m,exclude
21,0.007276439089692104,5m,exclude
22,0.0070391566265060245,5m,exclude
23,0.006402610441767066,5m,exclude
0,0.007977536231884057,5m,only
1,0.007389130434782611,5m,only
2,0.006713768115942028,5m,only
3,0.006355072463768118,5m,only
4,0.006073913043478259,5m,only
5,0.005950724637681164,5m,only
6,0.0059355072463768135,5m,only
7,0.005997826086956525,5m,only
8,0.006389855072463772,5m,only
9,0.006546376811594206,5m,only
10,0.0062550724637681155,5m,only
11,0.006291304347826088,5m,only
12,0.0070202898550724615,5m,only
13,0.00731594202898551,5m,only
14,0.00778913043478261,5m,only
15,0.00795942028985508,5m,only
16,0.00825,5m,only
17,0.007863768115942027,5m,only
18,0.0069630434782608774,5m,only
19,0.0062384057971014515,5m,only
20,0.006860869565217394,5m,only
21,0.006399275362318843,5m,only
22,0.00694420289855072,5m,only
23,0.006521739130434784,5m,only
0,0.003406347031963471,1m,include
1,0.003365753424657534,1m,include
2,0.0030489954337899554,1m,include
3,0.0027667123287671244,1m,include
4,0.0026286301369863015,1m,include
5,0.002571141552511417,1m,include
6,0.0026726940639269403,1m,include
7,0.0027498630136986303,1m,include
8,0.0029689041095890428,1m,include
9,0.0028883105022831056,1m,include
10,0.0027984018264840178,1m,include
11,0.002792054794520549,1m,include
12,0.0032664383561643827,1m,include
13,0.0037768493150684935,1m,include
14,0.004184018264840181,1m,include
15,0.0040007305936073075,1m,include
16,0.0038168949771689507,1m,include
17,0.003433252593574334,1m,include
18,0.003296794871794873,1m,include
19,0.002957554945054945,1m,include
20,0.0029994047619047613,1m,include
21,0.0026376831501831507,1m,include
22,0.0026657051282051275,1m,include
23,0.0025320512820512816,1m,include
0,0.003551533333333334,1m,exclude
1,0.0035859999999999998,1m,exclude
2,0.0032494000000000012,1m,exclude
3,0.0029075333333333357,1m,exclude
4,0.002757466666666668,1m,exclude
5,0.0026926666666666687,1m,exclude
6,0.002851933333333333,1m,exclude
7,0.002941733333333334,1m,exclude
8,0.003171466666666668,1m,exclude
9,0.003033666666666667,1m,exclude
10,0.002955999999999999,1m,exclude
11,0.002936733333333335,1m,exclude
12,0.003519799999999999,1m,exclude
13,0.004169666666666667,1m,exclude
14,0.004677799999999999,1m,exclude
15,0.0043866,1m,exclude
16,0.004045333333333334,1m,exclude
17,0.0035765302716774592,1m,exclude
18,0.003544511378848729,1m,exclude
19,0.003185475234270416,1m,exclude
20,0.0031479919678714862,1m,exclude
21,0.0027591700133868815,1m,exclude
22,0.0027013386880856763,1m,exclude
23,0.002512115127175367,1m,exclude
0,0.0030907246376811596,1m,only
1,0.00288695652173913,1m,only
2,0.002613333333333334,1m,only
3,0.002460579710144926,1m,only
4,0.002348550724637679,1m,only
5,0.0023069565217391317,1m,only
6,0.00228304347826087,1m,only
7,0.0023327536231884053,1m,only
8,0.0025285507246376833,1m,only
9,0.0025723188405797105,1m,only
10,0.0024557971014492765,1m,only
11,0.0024775362318840595,1m,only
12,0.0027156521739130435,1m,only
13,0.0029228985507246397,1m,only
14,0.003110579710144925,1m,only
15,0.003161884057971017,1m,only
16,0.003320289855072465,1m,only
17,0.003122173913043477,1m,only
18,0.002760434782608698,1m,only
19,0.002464057971014491,1m,only
20,0.0026776811594202876,1m,only
21,0.002374637681159422,1m,only
22,0.0025885507246376778,1m,only
23,0.0025752173913043477,1m,only
